epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.5144,1.28663,4.67985,3.28076,0.02,6.45247,0.01,1,0.02069,0.01502,0.01,1,0.0162,0.01028,0.59868,2.35472,3.33162,0.01319,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,121.198,1.27618,4.87508,3.20867,0.02008,6.24596,0.01,1,0.0199,0.01392,0.01,1,0.01448,0.00949,0.72584,2.49578,3.34201,0.01644,0,0.00062733,0.00020911,0.00062733,0.00020911,0.00062733,0.00020911,0.00062733,0.00020911
3,158.923,1.13999,4.47385,3.21525,0.01872,5.85173,0.00958,0.95833,0.01821,0.01195,0.00958,0.95833,0.02786,0.00963,1.01038,3.13435,3.38075,0.02256,0,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634
4,197.617,1.38241,4.08854,3.27615,0.02027,5.56911,0.00958,0.95833,0.01812,0.01149,0.00875,0.875,0.02433,0.00874,1.22611,3.37184,3.40411,0.02916,0,0.00117507,0.00039169,0.00117507,0.00039169,0.00117507,0.00039169,0.00117507,0.00039169
5,220.009,1.14285,3.78497,3.28639,0.01712,4.96789,0.00875,0.875,0.01695,0.01103,0.00875,0.875,0.02758,0.00948,1.26907,3.7586,3.40943,0.03088,0,0.00139548,0.00046516,0.00139548,0.00046516,0.00139548,0.00046516,0.00139548,0.00046516
6,242.181,1.19324,3.42556,3.31113,0.01696,4.83185,0.00875,0.875,0.01668,0.01132,0.00875,0.875,0.02811,0.00964,1.26993,3.95055,3.40826,0.03077,0,0.00158025,0.00052675,0.00158025,0.00052675,0.00158025,0.00052675,0.00158025,0.00052675
7,264.229,1.20845,3.62827,3.24845,0.01852,4.58679,0.00875,0.875,0.01838,0.0125,0.00917,0.91667,0.03791,0.01374,1.11775,3.25173,3.39561,0.02679,0,0.00172938,0.00057646,0.00172938,0.00057646,0.00172938,0.00057646,0.00172938,0.00057646
8,270.904,1.27083,3.31861,3.25027,0.01815,4.65033,0.00875,0.875,0.01838,0.0125,0.00917,0.91667,0.03791,0.01374,1.11775,3.25173,3.39561,0.02679,0,0.00184287,0.00061429,0.00184287,0.00061429,0.00184287,0.00061429,0.00184287,0.00061429
9,292.915,1.09027,3.16851,3.28605,0.01608,4.55485,0.00958,0.95833,0.01996,0.01287,0.00917,0.91667,0.0354,0.01191,1.119,3.25405,3.37054,0.02611,0,0.00192072,0.00064024,0.00192072,0.00064024,0.00192072,0.00064024,0.00192072,0.00064024
10,314.755,1.12686,3.20403,3.21967,0.01614,4.00413,0.01,1,0.02196,0.015,0.01,1,0.04053,0.01686,0.84742,2.70236,3.3475,0.019,0,0.00196293,0.00065431,0.00196293,0.00065431,0.00196293,0.00065431,0.00196293,0.00065431
11,321.377,0.72473,2.73537,3.21275,0.0135,4.58044,0.01,1,0.02196,0.015,0.01,1,0.04053,0.01686,0.84742,2.70236,3.3475,0.019,0,0.0019695,0.0006565,0.0019695,0.0006565,0.0019695,0.0006565,0.0019695,0.0006565
12,343.735,0.79262,2.91789,3.20214,0.01539,4.82341,0.01,1,0.02585,0.01708,0.01,1,0.09988,0.02482,0.67159,2.79244,3.32366,0.01513,0,0.00194043,0.00064681,0.00194043,0.00064681,0.00194043,0.00064681,0.00194043,0.00064681
13,350.178,0.74903,3.35653,3.13052,0.0152,3.49403,0.01,1,0.02585,0.01708,0.01,1,0.09988,0.02482,0.67159,2.79244,3.32366,0.01513,0,0.00187572,0.00062524,0.00187572,0.00062524,0.00187572,0.00062524,0.00187572,0.00062524
14,356.795,0.69853,2.74368,3.13685,0.01319,3.74309,0.01,1,0.02585,0.01708,0.01,1,0.09988,0.02482,0.67159,2.79244,3.32366,0.01513,0,0.00177537,0.00059179,0.00177537,0.00059179,0.00177537,0.00059179,0.00177537,0.00059179
15,379.399,0.70109,3.19258,3.10637,0.01402,3.59305,0.01,1,0.02868,0.02099,0.01,1,0.10275,0.02459,0.57709,2.42942,3.29135,0.01301,0,0.00163938,0.00054646,0.00163938,0.00054646,0.00163938,0.00054646,0.00163938,0.00054646
16,388.322,0.65766,2.76652,3.15604,0.01377,3.50309,0.01,1,0.02868,0.02099,0.01,1,0.10275,0.02459,0.57709,2.42942,3.29135,0.01301,0,0.00146775,0.00048925,0.00146775,0.00048925,0.00146775,0.00048925,0.00146775,0.00048925
17,410.992,0.69928,2.63654,3.12985,0.01355,3.51409,0.01,1,0.03045,0.02356,0.01,1,0.06364,0.02807,0.5333,2.04717,3.25627,0.01156,0,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
18,417.244,0.74948,2.50513,3.1166,0.01401,3.08265,0.01,1,0.03045,0.02356,0.01,1,0.06364,0.02807,0.5333,2.04717,3.25627,0.01156,0,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
19,423.649,0.63224,2.95613,3.14996,0.01259,3.15765,0.01,1,0.03045,0.02356,0.01,1,0.06364,0.02807,0.5333,2.04717,3.25627,0.01156,0,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
