epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.0153,1.28643,4.67961,3.28077,0.02,6.4522,0.01,1,0.02069,0.01502,0.01,1,0.0162,0.01028,0.59845,2.35437,3.33161,0.01318,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,34.0162,1.27623,4.87185,3.20862,0.02008,6.24125,0.01,1,0.01986,0.01393,0.01,1,0.01453,0.00951,0.725,2.49242,3.34194,0.01642,0,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822
3,46.4964,1.13712,4.4564,3.21507,0.01866,5.82566,0.00958,0.95833,0.01821,0.01203,0.00958,0.95833,0.0278,0.00979,1.00001,3.10911,3.37973,0.0223,0,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
4,58.3413,1.36927,4.05315,3.28288,0.02005,5.52021,0.00958,0.95833,0.0184,0.01235,0.00917,0.91667,0.04975,0.01155,1.19456,3.30474,3.39987,0.02795,0,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338
5,67.4164,1.14463,3.72035,3.27389,0.01713,4.89573,0.00917,0.91667,0.0181,0.01221,0.00875,0.875,0.04462,0.0119,1.18637,3.47768,3.39778,0.02845,0,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
6,76.1297,1.16738,3.31526,3.31541,0.0166,4.71874,0.00917,0.91667,0.01826,0.01271,0.00875,0.875,0.0849,0.02141,1.0964,2.91477,3.39528,0.02591,0,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535
7,85.0879,1.19264,3.43998,3.24943,0.01821,4.47829,0.01,1,0.02178,0.0154,0.01,1,0.13614,0.04089,0.79605,2.74268,3.34668,0.01769,0,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292
8,90.3961,1.24535,3.15731,3.24771,0.01786,4.4425,0.01,1,0.02178,0.0154,0.01,1,0.13614,0.04089,0.79605,2.74268,3.34668,0.01769,0,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858
9,99.6061,1.04807,2.93909,3.27826,0.01537,4.32886,0.01,1,0.03989,0.02692,0.01,1,0.1689,0.09296,0.57633,2.63731,3.33034,0.01274,0,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048
10,108.952,1.09828,3.07266,3.21229,0.01576,3.70836,0.01,1,0.04865,0.03052,0.01,1,0.18239,0.08905,0.55017,2.56745,3.31903,0.01216,0,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486
11,114.333,1.01368,2.72337,3.15443,0.01487,3.13256,0.01,1,0.04865,0.03052,0.01,1,0.18239,0.08905,0.55017,2.56745,3.31903,0.01216,0,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713
12,123.128,0.97437,2.70357,3.17708,0.016,3.32584,0.01,1,0.03472,0.02248,0.01,1,0.12731,0.04655,0.56142,1.97752,3.33223,0.01209,0,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536
13,128.377,1.01293,2.64986,3.11258,0.01531,3.08286,0.01,1,0.03472,0.02248,0.01,1,0.12731,0.04655,0.56142,1.97752,3.33223,0.01209,0,0.00407114,0.00135705,0.00407114,0.00135705,0.00407114,0.00135705,0.00407114,0.00135705
14,133.647,0.88697,2.39441,3.15094,0.01303,2.91577,0.01,1,0.03472,0.02248,0.01,1,0.12731,0.04655,0.56142,1.97752,3.33223,0.01209,0,0.00433907,0.00144636,0.00433907,0.00144636,0.00433907,0.00144636,0.00433907,0.00144636
15,142.369,1.00966,2.66863,3.06077,0.01555,2.79777,0.01,1,0.06884,0.04092,0.01,1,0.13108,0.06395,0.53826,1.79907,3.31179,0.01152,0,0.00459988,0.00153329,0.00459988,0.00153329,0.00459988,0.00153329,0.00459988,0.00153329
16,147.822,0.95712,2.5665,3.11936,0.01411,2.60516,0.01,1,0.06884,0.04092,0.01,1,0.13108,0.06395,0.53826,1.79907,3.31179,0.01152,0,0.00485355,0.00161785,0.00485355,0.00161785,0.00485355,0.00161785,0.00485355,0.00161785
17,156.726,0.83266,2.17637,3.06677,0.01266,2.50493,0.01,1,0.04177,0.02936,0.01,1,0.13092,0.04917,0.5652,1.70388,3.25728,0.01219,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,162.301,0.82708,1.89666,3.06091,0.01142,2.15394,0.01,1,0.04177,0.02936,0.01,1,0.13092,0.04917,0.5652,1.70388,3.25728,0.01219,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,167.697,0.83982,1.95509,3.07902,0.01157,2.14299,0.01,1,0.04177,0.02936,0.01,1,0.13092,0.04917,0.5652,1.70388,3.25728,0.01219,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,176.34,0.83051,2.09939,3.05808,0.01207,2.16125,0.01,1,0.0406,0.03076,0.01,1,0.09558,0.04918,0.53272,1.78925,3.17956,0.01116,0,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,181.818,0.74263,1.66214,3.07038,0.01054,1.81652,0.01,1,0.0406,0.03076,0.01,1,0.09558,0.04918,0.53272,1.78925,3.17956,0.01116,0,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,187.136,0.82991,1.73861,3.01223,0.01137,1.82225,0.01,1,0.0406,0.03076,0.01,1,0.09558,0.04918,0.53272,1.78925,3.17956,0.01116,0,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,195.65,0.78032,1.89611,2.96206,0.01103,1.65597,0.01,1,0.0361,0.03029,0.01,1,0.1152,0.04298,0.52991,1.60676,3.09982,0.01075,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,201.031,0.69275,1.54332,3.00571,0.0093,1.47933,0.01,1,0.0361,0.03029,0.01,1,0.1152,0.04298,0.52991,1.60676,3.09982,0.01075,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,210.244,0.64729,1.58965,2.95889,0.00839,1.56814,0.01,1,0.0365,0.03035,0.01,1,0.1062,0.04297,0.46781,1.47146,3.07216,0.00916,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,215.666,0.72641,1.54809,2.93679,0.01029,1.40639,0.01,1,0.0365,0.03035,0.01,1,0.1062,0.04297,0.46781,1.47146,3.07216,0.00916,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,221.062,0.59349,1.39168,2.90321,0.00806,1.29766,0.01,1,0.0365,0.03035,0.01,1,0.1062,0.04297,0.46781,1.47146,3.07216,0.00916,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,229.72,0.70815,1.39914,2.99092,0.0087,1.32901,0.01,1,0.03909,0.03387,0.01,1,0.12268,0.04861,0.44088,1.11709,2.96467,0.00863,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,234.958,0.81445,1.50083,2.96073,0.01027,1.32507,0.01,1,0.03909,0.03387,0.01,1,0.12268,0.04861,0.44088,1.11709,2.96467,0.00863,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,240.212,0.77073,1.27998,2.92026,0.01019,1.20057,0.01,1,0.03909,0.03387,0.01,1,0.12268,0.04861,0.44088,1.11709,2.96467,0.00863,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
