epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,23.0664,1.33794,4.37163,3.22884,0.02209,6.46171,0.01,1,0.0235,0.01546,0.01,1,0.01863,0.01118,0.52784,2.21328,3.32794,0.01154,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,35.4296,1.34189,4.49891,3.23433,0.0232,6.20502,0.01,1,0.01953,0.01466,0.01,1,0.01566,0.01026,0.60022,2.33855,3.33368,0.013,0,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644,0.000646932,0.000215644
3,48.0329,1.30319,4.31243,3.22749,0.02116,5.94197,0.01,1,0.02136,0.01518,0.01,1,0.05999,0.01457,0.66933,2.4977,3.34083,0.01469,0,0.000979608,0.000326536,0.000979608,0.000326536,0.000979608,0.000326536,0.000979608,0.000326536
4,60.211,1.31121,3.89365,3.20024,0.02123,5.60753,0.01,1,0.02066,0.01549,0.01,1,0.11198,0.02064,0.7718,2.67712,3.3507,0.01729,0,0.00129803,0.000432676,0.00129803,0.000432676,0.00129803,0.000432676,0.00129803,0.000432676
5,69.2881,1.20084,4.35301,3.22803,0.01983,5.13404,0.01,1,0.02037,0.01529,0.01,1,0.12984,0.02368,0.78429,2.76771,3.35058,0.01782,0,0.00160219,0.000534064,0.00160219,0.000534064,0.00160219,0.000534064,0.00160219,0.000534064
6,78.3235,1.37538,4.12175,3.16285,0.02193,5.08465,0.01,1,0.02167,0.01554,0.01,1,0.04922,0.01629,0.81448,2.65136,3.35298,0.01772,0,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307,0.0018921,0.0006307
7,87.229,1.19082,3.74573,3.18835,0.01836,4.55019,0.01,1,0.02233,0.01668,0.01,1,0.03131,0.01362,0.69338,2.36863,3.3446,0.01516,0,0.00216775,0.000722584,0.00216775,0.000722584,0.00216775,0.000722584,0.00216775,0.000722584
8,92.6727,1.20261,3.6778,3.23336,0.01783,4.6903,0.01,1,0.02233,0.01668,0.01,1,0.03131,0.01362,0.69338,2.36863,3.3446,0.01516,0,0.00242915,0.000809716,0.00242915,0.000809716,0.00242915,0.000809716,0.00242915,0.000809716
9,101.437,1.23768,4.10845,3.19381,0.01909,4.26046,0.01,1,0.02333,0.01748,0.01,1,0.04329,0.02084,0.54332,2.5656,3.334,0.01164,0,0.00267629,0.000892096,0.00267629,0.000892096,0.00267629,0.000892096,0.00267629,0.000892096
10,110.391,1.33793,4.1257,3.19297,0.02056,4.45193,0.01,1,0.04543,0.02996,0.01,1,0.08447,0.03208,0.45647,2.81113,3.30493,0.00971,0,0.00290917,0.000969724,0.00290917,0.000969724,0.00290917,0.000969724,0.00290917,0.000969724
