epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,25.9315,1.28643,4.67961,3.28077,0.02,6.4522,0.01,1,0.02069,0.01502,0.01,1,0.0162,0.01028,0.59845,2.35437,3.33161,0.01318,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,39.3978,1.27623,4.87167,3.20862,0.02008,6.24075,0.01,1,0.01986,0.01393,0.01,1,0.01453,0.00951,0.72498,2.49216,3.34194,0.01642,0,0.000655644,0.000218548,0.000655644,0.000218548,0.000655644,0.000218548,0.000655644,0.000218548
3,53.5973,1.13696,4.45502,3.21505,0.01866,5.82332,0.00958,0.95833,0.01822,0.01204,0.00958,0.95833,0.0278,0.00979,0.99944,3.1073,3.37966,0.02229,0,0.00100654,0.000335512,0.00100654,0.000335512,0.00100654,0.000335512,0.00100654,0.000335512
4,68.2792,1.369,4.05082,3.28283,0.02004,5.51601,0.00958,0.95833,0.0184,0.01235,0.00917,0.91667,0.04973,0.01155,1.19066,3.2952,3.39933,0.02781,0,0.00135268,0.000450892,0.00135268,0.000450892,0.00135268,0.000450892,0.00135268,0.000450892
5,78.4937,1.14382,3.71616,3.27381,0.01711,4.89167,0.00917,0.91667,0.01821,0.01235,0.00917,0.91667,0.04515,0.012,1.18084,3.46092,3.39701,0.02824,0,0.00169406,0.000564688,0.00169406,0.000564688,0.00169406,0.000564688,0.00169406,0.000564688
6,89.5313,1.16365,3.29633,3.3165,0.01654,4.71481,0.00917,0.91667,0.01823,0.01278,0.00875,0.875,0.08059,0.02179,1.09355,2.98662,3.39352,0.02588,0,0.0020307,0.0006769,0.0020307,0.0006769,0.0020307,0.0006769,0.0020307,0.0006769
7,100.14,1.19196,3.40609,3.24977,0.01819,4.47334,0.01,1,0.02156,0.01543,0.01,1,0.13637,0.04596,0.78093,2.71695,3.34575,0.01736,0,0.00236258,0.000787528,0.00236258,0.000787528,0.00236258,0.000787528,0.00236258,0.000787528
8,106.543,1.24381,3.13039,3.24691,0.01783,4.42682,0.01,1,0.02156,0.01543,0.01,1,0.13637,0.04596,0.78093,2.71695,3.34575,0.01736,0,0.00268972,0.000896572,0.00268972,0.000896572,0.00268972,0.000896572,0.00268972,0.000896572
9,117.234,1.04673,2.94819,3.27786,0.01534,4.31108,0.01,1,0.03989,0.0269,0.01,1,0.16844,0.09335,0.56956,2.59315,3.33182,0.01264,0,0.0030121,0.00100403,0.0030121,0.00100403,0.0030121,0.00100403,0.0030121,0.00100403
10,127.246,1.08888,3.04964,3.21594,0.01555,3.68178,0.01,1,0.04467,0.02841,0.01,1,0.18065,0.08667,0.54645,2.48822,3.32144,0.01206,0,0.00332972,0.00110991,0.00332972,0.00110991,0.00332972,0.00110991,0.00332972,0.00110991
