epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,115.389,0.79995,5.43405,3.46498,0.01225,6.10886,0.00625,0.625,0.04746,0.0284,0.00542,0.54167,0.04612,0.0335,1.47324,2.75352,5.01618,0.0402,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,173.18,0.76136,5.51757,3.42879,0.01208,5.97282,0.00708,0.70833,0.06185,0.04353,0.00625,0.625,0.05746,0.04502,1.27228,2.51202,4.9276,0.03541,0,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822
3,230.378,0.66963,4.13477,3.62745,0.01019,5.53489,0.00833,0.83333,0.05305,0.0364,0.00792,0.79167,0.04227,0.03389,1.03079,1.8288,4.71077,0.02739,0,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
4,287.048,0.84144,4.0851,3.40327,0.01132,5.04545,0.00875,0.875,0.09936,0.06957,0.00875,0.875,0.07531,0.06222,0.91624,1.7353,4.64269,0.02358,0,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338
5,331.209,0.67839,3.30734,3.49289,0.00982,4.62458,0.00875,0.875,0.09569,0.07378,0.00875,0.875,0.07868,0.0677,0.78433,1.69055,4.55459,0.02006,0,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
