epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,233.925,0.78032,1.89611,2.96206,0.01103,1.65597,0.01,1,0.0361,0.03029,0.01,1,0.1152,0.04298,0.52991,1.60676,3.09982,0.01075,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,240.495,0.69275,1.54332,3.00571,0.0093,1.47933,0.01,1,0.0361,0.03029,0.01,1,0.1152,0.04298,0.52991,1.60676,3.09982,0.01075,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,250.529,0.64729,1.58965,2.95889,0.00839,1.56814,0.01,1,0.0365,0.03035,0.01,1,0.1062,0.04297,0.46781,1.47146,3.07216,0.00916,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,257.094,0.72641,1.54809,2.93679,0.01029,1.40639,0.01,1,0.0365,0.03035,0.01,1,0.1062,0.04297,0.46781,1.47146,3.07216,0.00916,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,263.825,0.59349,1.39168,2.90321,0.00806,1.29766,0.01,1,0.0365,0.03035,0.01,1,0.1062,0.04297,0.46781,1.47146,3.07216,0.00916,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,273.716,0.70815,1.39914,2.99092,0.0087,1.32901,0.01,1,0.03909,0.03387,0.01,1,0.12268,0.04861,0.44088,1.11709,2.96467,0.00863,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,280.148,0.81445,1.50083,2.96073,0.01027,1.32507,0.01,1,0.03909,0.03387,0.01,1,0.12268,0.04861,0.44088,1.11709,2.96467,0.00863,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,286.69,0.77073,1.27998,2.92026,0.01019,1.20057,0.01,1,0.03909,0.03387,0.01,1,0.12268,0.04861,0.44088,1.11709,2.96467,0.00863,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,296.859,0.61365,1.28435,2.81293,0.00828,1.12432,0.01,1,0.04269,0.03464,0.01,1,0.10228,0.04941,0.46537,1.10599,2.9192,0.00917,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,303.182,0.64062,1.15176,2.84022,0.00843,1.01272,0.01,1,0.04269,0.03464,0.01,1,0.10228,0.04941,0.46537,1.10599,2.9192,0.00917,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,313.644,0.60216,1.22893,2.85726,0.00853,1.11819,0.01,1,0.04531,0.03917,0.01,1,0.11696,0.05677,0.48311,1.09821,2.83753,0.00973,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,321.317,0.57416,1.3015,2.76622,0.00765,0.88867,0.01,1,0.04531,0.03917,0.01,1,0.11696,0.05677,0.48311,1.09821,2.83753,0.00973,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,327.731,0.65293,1.22411,2.8336,0.0084,0.90146,0.01,1,0.04531,0.03917,0.01,1,0.11696,0.05677,0.48311,1.09821,2.83753,0.00973,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,337.307,0.53977,1.12845,2.76096,0.00731,0.82467,0.01,1,0.0579,0.04937,0.01,1,0.12418,0.07005,0.46095,1.01225,2.78961,0.009,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,344.042,0.58727,1.22464,2.77334,0.00783,1.07443,0.01,1,0.0579,0.04937,0.01,1,0.12418,0.07005,0.46095,1.01225,2.78961,0.009,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,350.606,0.55626,1.06457,2.73186,0.0078,0.8267,0.01,1,0.0579,0.04937,0.01,1,0.12418,0.07005,0.46095,1.01225,2.78961,0.009,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
