epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,81.1152,1.28663,4.67985,3.28076,0.02,6.45247,0.01,1,0.02069,0.01502,0.01,1,0.0162,0.01028,0.59868,2.35472,3.33162,0.01319,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,118.747,1.27622,4.87319,3.20861,0.02008,6.24092,0.01,1,0.01986,0.01392,0.01,1,0.01449,0.0095,0.72515,2.49274,3.34195,0.01642,0,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822
3,156.513,1.13732,4.45709,3.21509,0.01867,5.82701,0.00958,0.95833,0.01821,0.012,0.00958,0.95833,0.02781,0.00979,1.00072,3.11059,3.3798,0.02232,0,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
4,194.54,1.37003,4.05225,3.28291,0.02006,5.52083,0.00958,0.95833,0.01841,0.01231,0.00917,0.91667,0.04981,0.01157,1.20377,3.3093,3.401,0.02825,0,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338
5,216.905,1.14051,3.71204,3.28045,0.01697,4.90252,0.00917,0.91667,0.01817,0.01224,0.00875,0.875,0.04453,0.01187,1.18712,3.47323,3.39793,0.0285,0,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
6,240.682,1.16869,3.4188,3.31233,0.01657,4.73273,0.00917,0.91667,0.01828,0.01286,0.00917,0.91667,0.08091,0.02201,1.09069,2.99956,3.39332,0.02581,0,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535
7,266.12,1.19875,3.49928,3.24563,0.01832,4.49581,0.01,1,0.02168,0.01548,0.01,1,0.13621,0.04155,0.79313,2.71123,3.34664,0.01756,0,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292
8,272.58,1.24111,3.11709,3.25016,0.01779,4.45622,0.01,1,0.02168,0.01548,0.01,1,0.13621,0.04155,0.79313,2.71123,3.34664,0.01756,0,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858
9,294.38,1.05162,2.92996,3.277,0.01542,4.32927,0.01,1,0.03987,0.02664,0.01,1,0.16738,0.09879,0.56833,2.57888,3.33114,0.0126,0,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048
10,316.125,1.09229,3.07337,3.21708,0.01566,3.71247,0.01,1,0.04203,0.02621,0.01,1,0.17686,0.08087,0.55019,2.41865,3.32657,0.01224,0,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486
11,322.896,1.01124,2.74534,3.16298,0.01482,3.12244,0.01,1,0.04203,0.02621,0.01,1,0.17686,0.08087,0.55019,2.41865,3.32657,0.01224,0,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713
12,345.722,0.97581,2.70294,3.17544,0.01583,3.35044,0.01,1,0.02495,0.01878,0.01,1,0.14471,0.04414,0.56266,2.11578,3.32763,0.01226,0,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536
13,352.562,1.00997,2.6901,3.12145,0.01507,3.09199,0.01,1,0.02495,0.01878,0.01,1,0.14471,0.04414,0.56266,2.11578,3.32763,0.01226,0,0.00407114,0.00135705,0.00407114,0.00135705,0.00407114,0.00135705,0.00407114,0.00135705
14,359.204,0.89373,2.40366,3.14393,0.01304,2.91105,0.01,1,0.02495,0.01878,0.01,1,0.14471,0.04414,0.56266,2.11578,3.32763,0.01226,0,0.00433907,0.00144636,0.00433907,0.00144636,0.00433907,0.00144636,0.00433907,0.00144636
15,380.86,1.00981,2.62809,3.06905,0.01542,2.75319,0.01,1,0.06817,0.04059,0.01,1,0.12806,0.06375,0.57929,1.89327,3.31036,0.01253,0,0.00459988,0.00153329,0.00459988,0.00153329,0.00459988,0.00153329,0.00459988,0.00153329
16,387.3,0.95437,2.50282,3.12675,0.01408,2.60194,0.01,1,0.06817,0.04059,0.01,1,0.12806,0.06375,0.57929,1.89327,3.31036,0.01253,0,0.00485355,0.00161785,0.00485355,0.00161785,0.00485355,0.00161785,0.00485355,0.00161785
17,408.782,0.82939,2.20666,3.06676,0.01263,2.49931,0.01,1,0.0279,0.02059,0.01,1,0.13232,0.05222,0.61118,1.91003,3.30017,0.01284,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,415.263,0.85793,1.93722,3.05305,0.01223,2.07812,0.01,1,0.0279,0.02059,0.01,1,0.13232,0.05222,0.61118,1.91003,3.30017,0.01284,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,421.648,0.83902,1.84747,3.07579,0.01177,2.09595,0.01,1,0.0279,0.02059,0.01,1,0.13232,0.05222,0.61118,1.91003,3.30017,0.01284,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,443.58,0.82997,2.18372,3.04854,0.01192,2.2514,0.01,1,0.03291,0.02682,0.01,1,0.12931,0.05372,0.60911,1.78359,3.16962,0.01278,0,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,450.447,0.76257,1.72788,3.0607,0.01073,1.82708,0.01,1,0.03291,0.02682,0.01,1,0.12931,0.05372,0.60911,1.78359,3.16962,0.01278,0,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,457.054,0.85849,1.72893,3.00701,0.01173,1.90428,0.01,1,0.03291,0.02682,0.01,1,0.12931,0.05372,0.60911,1.78359,3.16962,0.01278,0,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,478.581,0.807,1.82142,2.96278,0.01135,1.67471,0.01,1,0.03338,0.02793,0.01,1,0.0667,0.03421,0.57706,1.51553,3.11456,0.0118,0,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,484.947,0.68213,1.58162,3.02355,0.00896,1.51745,0.01,1,0.03338,0.02793,0.01,1,0.0667,0.03421,0.57706,1.51553,3.11456,0.0118,0,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,506.317,0.67844,1.56168,2.94566,0.00888,1.63053,0.01,1,0.03529,0.02906,0.01,1,0.0811,0.03693,0.52709,1.35356,3.08583,0.01056,0,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,512.777,0.71304,1.60435,2.94865,0.00991,1.39543,0.01,1,0.03529,0.02906,0.01,1,0.0811,0.03693,0.52709,1.35356,3.08583,0.01056,0,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,519.127,0.60088,1.34346,2.90212,0.0083,1.35538,0.01,1,0.03529,0.02906,0.01,1,0.0811,0.03693,0.52709,1.35356,3.08583,0.01056,0,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,540.704,0.67435,1.32181,3.02001,0.00834,1.29161,0.01,1,0.03612,0.03054,0.01,1,0.07167,0.03822,0.51706,1.15743,2.97421,0.01046,0,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,547.085,0.80061,1.4714,2.97733,0.00967,1.35425,0.01,1,0.03612,0.03054,0.01,1,0.07167,0.03822,0.51706,1.15743,2.97421,0.01046,0,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,553.543,0.79987,1.2668,2.9198,0.01079,1.22059,0.01,1,0.03612,0.03054,0.01,1,0.07167,0.03822,0.51706,1.15743,2.97421,0.01046,0,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,575.14,0.62082,1.27471,2.83127,0.00836,1.14159,0.01,1,0.03745,0.03252,0.01,1,0.1412,0.04731,0.4834,1.03813,2.9082,0.00962,0,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,581.393,0.6357,1.1625,2.84771,0.00845,1.03875,0.01,1,0.03745,0.03252,0.01,1,0.1412,0.04731,0.4834,1.03813,2.9082,0.00962,0,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,602.846,0.59571,1.22896,2.86839,0.00828,1.12447,0.01,1,0.04907,0.03976,0.01,1,0.13997,0.05875,0.5176,1.00943,2.81151,0.01016,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,609.127,0.54765,1.29029,2.76851,0.00737,0.90511,0.01,1,0.04907,0.03976,0.01,1,0.13997,0.05875,0.5176,1.00943,2.81151,0.01016,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,615.401,0.66095,1.19391,2.84516,0.00877,0.88778,0.01,1,0.04907,0.03976,0.01,1,0.13997,0.05875,0.5176,1.00943,2.81151,0.01016,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,636.805,0.54079,1.14992,2.75553,0.00739,0.82912,0.01,1,0.05879,0.04931,0.01,1,0.16694,0.07286,0.4589,0.93239,2.74838,0.00903,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,643.681,0.57534,1.20743,2.78768,0.00778,1.06713,0.01,1,0.05879,0.04931,0.01,1,0.16694,0.07286,0.4589,0.93239,2.74838,0.00903,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,650.294,0.55267,1.06901,2.75044,0.00782,0.88286,0.01,1,0.05879,0.04931,0.01,1,0.16694,0.07286,0.4589,0.93239,2.74838,0.00903,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,672.955,0.5632,1.11596,2.68552,0.00716,0.80184,0.01,1,0.07626,0.062,0.01,1,0.16683,0.08389,0.46485,0.9009,2.69704,0.0092,0,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,679.482,0.61799,1.22515,2.71491,0.00752,0.78192,0.01,1,0.07626,0.062,0.01,1,0.16683,0.08389,0.46485,0.9009,2.69704,0.0092,0,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,701.098,0.69799,1.17124,2.73792,0.00988,0.87371,0.01,1,0.23396,0.17245,0.01,1,0.2818,0.20485,0.43237,0.89296,2.60712,0.0084,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,707.531,0.62073,1.1832,2.72895,0.00868,0.69184,0.01,1,0.23396,0.17245,0.01,1,0.2818,0.20485,0.43237,0.89296,2.60712,0.0084,0,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,713.955,0.66205,1.25413,2.67714,0.00882,0.84494,0.01,1,0.23396,0.17245,0.01,1,0.2818,0.20485,0.43237,0.89296,2.60712,0.0084,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,735.535,0.64076,1.09261,2.69807,0.00896,0.69698,0.01,1,0.42808,0.3264,0.01,1,0.43979,0.36301,0.45791,0.88786,2.53335,0.00896,0,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,741.984,0.59167,0.98337,2.52536,0.00811,0.65665,0.01,1,0.42808,0.3264,0.01,1,0.43979,0.36301,0.45791,0.88786,2.53335,0.00896,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
