epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.8897,1.33794,4.37163,3.22884,0.02209,6.46171,0.01,1,0.0235,0.01546,0.01,1,0.01863,0.01118,0.52784,2.21328,3.32794,0.01154,0,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001,0.0003,0.0001
2,34.1827,1.34187,4.49864,3.23432,0.0232,6.20392,0.01,1,0.01953,0.01466,0.01,1,0.01653,0.01034,0.59995,2.33772,3.33366,0.01299,0,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822,0.000653466,0.000217822
3,47.2165,1.30296,4.31093,3.22749,0.02116,5.93433,0.01,1,0.02141,0.01522,0.01,1,0.06,0.01461,0.66675,2.49213,3.34066,0.01463,0,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
4,60.014,1.31058,3.88967,3.20011,0.02122,5.5932,0.01,1,0.02063,0.01556,0.01,1,0.11186,0.02079,0.7673,2.73424,3.34974,0.01718,0,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338,0.00133901,0.000446338
5,69.178,1.1988,4.355,3.22827,0.01978,5.10246,0.01,1,0.02031,0.01549,0.01,1,0.1303,0.02373,0.7795,2.74416,3.35014,0.01769,0,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
6,77.9286,1.3743,4.10777,3.15958,0.02196,5.04801,0.01,1,0.0217,0.01574,0.01,1,0.04361,0.01576,0.81592,2.5632,3.35287,0.01791,0,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535,0.00199605,0.00066535
7,86.4549,1.18749,3.73707,3.18306,0.01828,4.53264,0.01,1,0.02239,0.01677,0.01,1,0.07031,0.01745,0.6817,2.38201,3.34383,0.015,0,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292,0.00231388,0.000771292
8,91.8288,1.20451,3.63632,3.23206,0.01795,4.65685,0.01,1,0.02239,0.01677,0.01,1,0.07031,0.01745,0.6817,2.38201,3.34383,0.015,0,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858,0.00262457,0.000874858
9,100.552,1.23968,4.07576,3.18473,0.01913,4.24603,0.01,1,0.02301,0.01771,0.01,1,0.04413,0.01952,0.54463,2.38757,3.33662,0.01177,0,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048,0.00292814,0.000976048
10,109.515,1.31776,4.08191,3.19762,0.0202,4.35529,0.01,1,0.02737,0.0187,0.01,1,0.0536,0.01792,0.46876,2.56121,3.32902,0.00993,0,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486,0.00322459,0.00107486
11,114.82,1.39555,3.68617,3.148,0.02218,4.33099,0.01,1,0.02737,0.0187,0.01,1,0.0536,0.01792,0.46876,2.56121,3.32902,0.00993,0,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713,0.0035139,0.0011713
12,123.85,1.1838,3.04856,3.1804,0.01813,4.28043,0.01,1,0.02993,0.02057,0.01,1,0.02052,0.01352,0.48358,2.63793,3.32107,0.01027,0,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536,0.00379609,0.00126536
13,129.411,1.03602,2.52043,3.09224,0.01629,3.61019,0.01,1,0.02993,0.02057,0.01,1,0.02052,0.01352,0.48358,2.63793,3.32107,0.01027,0,0.00407114,0.00135705,0.00407114,0.00135705,0.00407114,0.00135705,0.00407114,0.00135705
14,135.009,1.26487,3.62197,3.07126,0.02059,3.65164,0.01,1,0.02993,0.02057,0.01,1,0.02052,0.01352,0.48358,2.63793,3.32107,0.01027,0,0.00433907,0.00144636,0.00433907,0.00144636,0.00433907,0.00144636,0.00433907,0.00144636
15,143.718,1.08396,3.22037,3.0953,0.01661,3.26919,0.01,1,0.02843,0.02116,0.01,1,0.0292,0.0162,0.46769,2.59441,3.29282,0.00955,0,0.00459988,0.00153329,0.00459988,0.00153329,0.00459988,0.00153329,0.00459988,0.00153329
16,149.141,1.11787,2.93616,3.12744,0.01712,3.19697,0.01,1,0.02843,0.02116,0.01,1,0.0292,0.0162,0.46769,2.59441,3.29282,0.00955,0,0.00485355,0.00161785,0.00485355,0.00161785,0.00485355,0.00161785,0.00485355,0.00161785
17,157.622,1.01309,2.47918,3.04792,0.01471,3.45585,0.01,1,0.02875,0.02155,0.01,1,0.02417,0.01823,0.42299,2.09284,3.26191,0.00834,0,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,163.164,0.98371,2.67698,3.07495,0.01461,3.02034,0.01,1,0.02875,0.02155,0.01,1,0.02417,0.01823,0.42299,2.09284,3.26191,0.00834,0,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,168.697,1.06675,3.10266,3.08892,0.01678,2.85346,0.01,1,0.02875,0.02155,0.01,1,0.02417,0.01823,0.42299,2.09284,3.26191,0.00834,0,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,178.051,0.94621,2.52343,3.01819,0.01441,2.51118,0.01,1,0.02553,0.02165,0.01,1,0.04616,0.02246,0.42511,1.94666,3.20301,0.00814,0,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,183.422,0.93463,2.58058,3.05363,0.01364,2.45297,0.01,1,0.02553,0.02165,0.01,1,0.04616,0.02246,0.42511,1.94666,3.20301,0.00814,0,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
